#OTU ID,C1,W2,C2,S1,A1,K1,G2,I2,A2,Q2,V2,X2,U1,T1,Z2,Y2,W1,G1,K2,S2,I1,V1,Q1,X1,D1,U2,Y1,D2,T2,Z1,E2,E1,L1,P2,H2,N2,J1,R1,F2,M1,O2,B2,B1,L2,P1,J2,N1,H1,F1,R2,O1,M2
b0b0444599635c47adaf7c1f1a54e4a2,382,1420,245,1,2,0,51,489,0,9,1150,1910,396,0,2,51,1924,32,14,4,496,847,11,1720,0,226,47,0,6,4,918,994,1,442,0,11,0,9,874,0,17,1731,1403,0,1289,6,6,0,642,6,11,0
909cbd770e2d89488fb56dd322c35de8,355,63,369,0,7,425,7,31,8,768,47,144,153,236,150,490,56,10,541,5,51,15,954,71,7,115,612,9,198,167,25,37,21,147,11,0,0,0,17,92,405,36,26,7,297,0,2,2,16,0,324,44
67ac549da21a17a110ff42822094d9f1,328,153,263,0,0,330,46,661,0,69,1548,1486,203,735,712,69,165,74,327,0,797,1621,60,1275,145,111,107,75,553,584,263,316,0,747,0,0,0,25,110,74,425,721,636,2,1094,0,0,0,73,11,470,37
c27bb6051d564d1aedffa8a2cb41a5a2,317,4,374,0,5,61,10,7,14,25,0,7,21,119,396,84,18,15,61,0,0,2,33,0,161,14,121,96,126,336,112,127,94,0,36,0,0,1,9,50,189,12,0,118,0,0,0,54,11,2,202,58
97167836f307b02f8dfcfdcaf258ff9d,282,67,225,0,20,185,218,15,60,364,15,246,289,182,146,171,72,270,171,1,19,15,424,169,161,232,170,124,176,136,273,425,78,138,94,2,3,253,86,141,186,49,23,92,178,0,0,67,83,307,216,98
b91b40224c30a4f55e2af06b4ae7a7b5,272,5,230,2,142,0,886,31,340,397,0,11,27,8,0,107,0,954,2,5,1,0,510,11,908,22,95,419,6,0,30,71,2489,9,2067,28,19,533,0,593,3,28,33,2494,11,17,43,1828,17,552,3,424
5aab9e30717dbac2cbbbe34061a0fbef,272,0,201,0,2,0,0,19,0,87,5,7,111,0,0,383,0,0,0,2,17,11,159,6,0,116,359,0,0,3,24,32,0,14,0,0,0,0,7,45,0,0,0,0,16,0,0,0,0,0,0,51
31a7e2641c6f77875c6138ec88b1fff0,260,172,235,0,0,0,0,0,0,0,0,0,389,0,0,121,164,0,0,0,0,0,0,0,0,216,154,0,0,0,468,562,0,0,0,1,0,0,238,0,0,0,0,0,0,0,0,0,167,0,0,0
d6deb335f8d88b70d0f6401cd3b9a115,247,287,184,0,0,2,18,2,0,6,3,15,430,14,0,198,233,14,0,0,2,0,5,7,41,343,230,25,8,3,336,459,3,8,8,0,0,7,223,26,0,3,3,2,19,0,0,0,222,10,2,25
49a8b545a28cdd683ff7b535c0324b84,237,542,194,3,2,0,54,45,0,18,134,116,276,3,2,61,474,51,8,3,66,91,8,63,100,219,100,78,0,10,367,492,13,65,2,2,0,26,325,24,7,63,38,0,52,0,0,0,299,32,15,45
d42aaf2d70c9619f285da86377e34511,236,10,193,2,0,25,663,0,5,215,0,17,1037,21,70,332,12,786,12,7,2,5,181,13,155,1026,412,123,35,57,640,1066,13,10,18,0,0,488,15,265,40,7,0,3,7,15,0,2,21,483,46,211
7593069ddf9d1dd34dc550f0c5b4e1b0,223,310,243,14,7,0,2098,5,15,527,0,5,115,0,0,1006,393,2474,0,20,18,0,456,7,810,117,758,662,0,0,4,19,18,72,29,49,28,4474,816,2627,0,12,8,36,47,19,71,29,701,3815,0,2123
68fa0b6bee83a8adc9a1c17fb4c0632b,207,80,207,0,0,0,39,0,0,0,0,0,55,0,0,83,82,23,0,2,0,0,5,3,85,66,42,35,0,0,96,110,4,4,0,0,0,8,73,17,0,0,0,2,0,0,0,3,38,21,0,28
d655802d9a77cd3b46070d6a9d394236,200,273,169,0,0,0,1,303,0,20,710,582,136,0,0,73,216,14,0,0,393,735,19,450,266,109,134,173,0,0,147,243,0,270,0,0,0,1,145,166,0,529,545,0,338,0,0,0,147,12,0,187
a150a57778b613f56ffa16f7099c3586,189,22,153,5,8,2,281,3,30,145,0,20,53,0,0,99,38,288,0,0,0,4,147,25,433,30,73,272,2,0,85,101,124,10,100,10,0,242,10,297,0,35,25,87,7,2,0,100,16,281,4,247
fed32c6f9955170f16fb56c02e72e16c,187,238,125,459,103,953,157,681,218,1413,10,21,8100,0,0,1214,239,222,1011,602,533,5,1712,22,54,5815,1286,32,0,7,103,154,1048,106,6365,123,114,2150,3440,12242,705,25,17,926,151,77,102,5671,2799,2385,709,11205
5a456dafe2653d3af36f8be08d64c527,182,81,140,79,174,66,515,20,474,422,6,256,58,106,88,72,41,653,49,112,10,10,406,214,455,68,79,273,120,57,88,136,1186,113,781,227,116,353,77,345,76,489,349,1140,184,122,233,743,53,458,71,260
152bc1384a7c013e81ee6895ddad6cf7,181,47,154,0,0,105,13,125,0,5,305,161,163,160,232,87,103,14,85,2,178,306,10,208,86,147,131,26,166,229,189,260,0,144,2,0,0,9,48,45,157,37,24,0,102,3,0,2,39,5,156,45
5981fccf89a0cd3c6e4a5aef57a913e6,176,5,127,538,648,0,1863,59,1502,1080,7,689,69,10,1,67,10,2226,0,560,9,8,1349,622,1012,57,122,672,0,0,151,196,4110,386,3541,1242,633,1282,9,667,0,1814,1384,3424,446,781,1145,3024,55,1343,0,523
0a012fac7c09eff52e1dc5ff790e672e,172,71,118,0,0,11,16,31,0,5,40,9,141,15,30,93,76,25,24,0,24,49,14,22,45,129,106,21,50,26,100,212,0,24,0,0,0,1,66,26,15,2,2,0,5,0,0,0,67,16,14,22
d38de71016bf2f35f5ec5fe27be9ef94,161,51,125,0,0,31,2,0,0,0,0,0,189,55,157,41,57,0,32,0,0,0,0,1,22,158,60,6,75,93,202,239,2,0,2,0,0,0,37,7,111,0,0,0,0,0,0,0,27,0,81,15
3d1267a942d522df20f95e75ef048a5c,159,108,159,6,4,858,9,58,13,38,62,194,51,1550,1670,37,130,4,918,11,40,81,12,152,96,47,51,55,1359,1263,95,141,25,24,30,1,0,4,62,72,1648,190,161,18,104,1,1,7,51,0,1625,47
6bb945444cfef38bd4040c46f73d2386,153,49,134,0,0,592,1244,24,0,951,21,444,70,785,811,57,49,1402,621,0,7,22,1155,380,1462,64,94,985,833,585,75,113,234,392,162,0,0,783,40,1218,695,50,43,215,574,0,0,149,51,931,756,948
1fc9ddc6c7c862c7be8fe64a3d2fae4d,149,11,113,0,0,0,13,0,0,0,0,0,0,0,0,38,21,31,0,0,0,0,0,0,320,0,24,151,0,0,0,0,0,0,0,0,0,8,6,78,0,0,0,0,0,0,0,0,3,15,0,134
